clip_id,video_path,label,manipulation_type,method,source,target1,target2,race,gender,split
D__id00591__00001_id00581_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id00591\00001_id00581_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id00591,id00581,-,Caucasian (European),women,train
D__id09181__00048_id07739_TmuvLVNBm8o_id06158_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (East)\women\id09181\00048_id07739_TmuvLVNBm8o_id06158_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id09181,id07739,id06158,Asian (East),women,train
C__id03649__00001_id00634_z5t9oJizDQg_faceswap,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\women\id03649\00001_id00634_z5t9oJizDQg_faceswap.mp4,1,FakeVideo-RealAudio,faceswap,id03649,id00634,-,Caucasian (European),women,train
A__id00373__00028,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\women\id00373\00028.mp4,0,RealVideo-RealAudio,real,id00373,-,-,Caucasian (European),women,train
A__id00345__00243,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00345\00243.mp4,0,RealVideo-RealAudio,real,id00345,-,-,Caucasian (American),men,train
A__id01933__00028,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01933\00028.mp4,0,RealVideo-RealAudio,real,id01933,-,-,African,men,train
A__id00306__00015,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\men\id00306\00015.mp4,0,RealVideo-RealAudio,real,id00306,-,-,Caucasian (European),men,train
A__id01098__00044,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\men\id01098\00044.mp4,0,RealVideo-RealAudio,real,id01098,-,-,Caucasian (European),men,train
D__id06066__00028_id01281_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (East)\women\id06066\00028_id01281_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id06066,id01281,-,Asian (East),women,train
A__id02617__00028,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02617\00028.mp4,0,RealVideo-RealAudio,real,id02617,-,-,African,women,train
A__id02838__00080,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02838\00080.mp4,0,RealVideo-RealAudio,real,id02838,-,-,African,women,train
A__id01661__00059,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01661\00059.mp4,0,RealVideo-RealAudio,real,id01661,-,-,African,women,train
C__id00634__00078_id01001_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\women\id00634\00078_id01001_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id00634,id01001,-,Caucasian (European),women,train
C__id01157__00048_id00225_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id01157\00048_id00225_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id01157,id00225,-,Caucasian (European),men,train
D__id00403__00052_id00374_w1qI7y9AGTc_id00271_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id00403\00052_id00374_w1qI7y9AGTc_id00271_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id00403,id00374,id00271,Caucasian (European),women,train
C__id00591__00001_id00188_e-vm5FB3idA,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\women\id00591\00001_id00188_e-vm5FB3idA.mp4,1,FakeVideo-RealAudio,fsgan,id00591,id00188,-,Caucasian (European),women,train
D__id00363__00014_id09175_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (East)\women\id00363\00014_id09175_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id00363,id09175,-,Asian (East),women,train
D__id01238__00037_id00025_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\women\id01238\00037_id00025_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id01238,id00025,-,Caucasian (American),women,train
C__id01521__00109_id01779_HgyHpDEo_jk,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\men\id01521\00109_id01779_HgyHpDEo_jk.mp4,1,FakeVideo-RealAudio,fsgan,id01521,id01779,-,African,men,train
A__id04219__00130,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id04219\00130.mp4,0,RealVideo-RealAudio,real,id04219,-,-,Caucasian (American),men,train
C__id05743__00015_id08299_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (East)\men\id05743\00015_id08299_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id05743,id08299,-,Asian (East),men,train
A__id01157__00048,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\men\id01157\00048.mp4,0,RealVideo-RealAudio,real,id01157,-,-,Caucasian (European),men,train
C__id01610__00090_id04727_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\men\id01610\00090_id04727_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id01610,id04727,-,African,men,train
C__id00266__00470_id00358_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id00266\00470_id00358_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id00266,id00358,-,Caucasian (European),men,train
C__id08313__00202_id04562_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\men\id08313\00202_id04562_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id08313,id04562,-,Asian (South),men,train
A__id04939__00174,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04939\00174.mp4,0,RealVideo-RealAudio,real,id04939,-,-,African,women,train
D__id01907__00148_id05235_ASy8lP3SRtw_faceswap_id03656_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\women\id01907\00148_id05235_ASy8lP3SRtw_faceswap_id03656_wavtolip.mp4,1,FakeVideo-FakeAudio,faceswap-wav2lip,id01907,id05235,faceswap,African,women,train
C__id04583__00077_id06343_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\women\id04583\00077_id06343_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id04583,id06343,-,Asian (South),women,train
C__id04490__00054_id05435_OvX-Jv_whcU,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\women\id04490\00054_id05435_OvX-Jv_whcU.mp4,1,FakeVideo-RealAudio,fsgan,id04490,id05435,-,Asian (South),women,train
D__id05251__00033_id00371_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\women\id05251\00033_id00371_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id05251,id00371,-,African,women,train
C__id00266__00470_id00554_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id00266\00470_id00554_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id00266,id00554,-,Caucasian (European),men,train
C__id00185__00015_id00909_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id00185\00015_id00909_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id00185,id00909,-,Caucasian (European),men,train
C__id02005__00052_id00476_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\men\id02005\00052_id00476_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id02005,id00476,-,African,men,train
A__id00169__00021,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00169\00021.mp4,0,RealVideo-RealAudio,real,id00169,-,-,Caucasian (American),men,train
D__id00594__00005_id00709_Rh23ELMGsIQ_id01156_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\men\id00594\00005_id00709_Rh23ELMGsIQ_id01156_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id00594,id00709,id01156,Caucasian (European),men,train
D__id06428__00043_id07051_d1c0Pl2aP_4_faceswap_id03985_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (South)\women\id06428\00043_id07051_d1c0Pl2aP_4_faceswap_id03985_wavtolip.mp4,1,FakeVideo-FakeAudio,faceswap-wav2lip,id06428,id07051,faceswap,Asian (South),women,train
A__id05252__00052,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05252\00052.mp4,0,RealVideo-RealAudio,real,id05252,-,-,African,women,train
D__id00025__00025_id00848_o1_9Cu3YMN0_id00428_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\women\id00025\00025_id00848_o1_9Cu3YMN0_id00428_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id00025,id00848,9Cu3YMN0,Caucasian (American),women,train
D__id00708__00043_id00696_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\men\id00708\00043_id00696_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id00708,id00696,-,Caucasian (American),men,train
B__id04216__00470_fake,raw\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (American)\men\id04216\00470_fake.mp4,1,RealVideo-FakeAudio,rtvc,id04216,fake.mp4,-,Caucasian (American),men,train
D__id07768__00143_id00857_yJ7bbvwL4kU_id07179_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (South)\men\id07768\00143_id00857_yJ7bbvwL4kU_id07179_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id07768,id00857,id07179,Asian (South),men,train
A__id07078__00405,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (South)\women\id07078\00405.mp4,0,RealVideo-RealAudio,real,id07078,-,-,Asian (South),women,train
C__id00261__00048_id00180_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\women\id00261\00048_id00180_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id00261,id00180,-,Caucasian (American),women,train
A__id03941__00021,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\women\id03941\00021.mp4,0,RealVideo-RealAudio,real,id03941,-,-,Caucasian (European),women,train
C__id01238__00037_id00462_EMnGfAq9gg4,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\women\id01238\00037_id00462_EMnGfAq9gg4.mp4,1,FakeVideo-RealAudio,fsgan,id01238,id00462,-,Caucasian (American),women,train
A__id00292__00072,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\men\id00292\00072.mp4,0,RealVideo-RealAudio,real,id00292,-,-,Caucasian (European),men,train
A__id06388__00005,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (East)\women\id06388\00005.mp4,0,RealVideo-RealAudio,real,id06388,-,-,Asian (East),women,train
C__id07049__00043_id01026_rM4ZERt7oM0,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\women\id07049\00043_id01026_rM4ZERt7oM0.mp4,1,FakeVideo-RealAudio,fsgan,id07049,id01026,-,Asian (South),women,train
D__id00305__00113_id00192_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\men\id00305\00113_id00192_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id00305,id00192,-,Caucasian (European),men,train
D__id04374__00032_id02838_kaCQlSGlLe8_id01783_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\women\id04374\00032_id02838_kaCQlSGlLe8_id01783_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id04374,id02838,id01783,African,women,train
D__id00180__00206_id00835_zWTp4szbb5k_id03556_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\women\id00180\00206_id00835_zWTp4szbb5k_id03556_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id00180,id00835,id03556,Caucasian (American),women,train
C__id00098__00004_id00616_xT51pPmksJw_faceswap,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\women\id00098\00004_id00616_xT51pPmksJw_faceswap.mp4,1,FakeVideo-RealAudio,faceswap,id00098,id00616,-,Caucasian (American),women,train
A__id00569__00239,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\women\id00569\00239.mp4,0,RealVideo-RealAudio,real,id00569,-,-,Caucasian (European),women,train
A__id07236__00143,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (South)\women\id07236\00143.mp4,0,RealVideo-RealAudio,real,id07236,-,-,Asian (South),women,train
D__id04939__00174_id00592_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\women\id04939\00174_id00592_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id04939,id00592,-,African,women,train
C__id03747__00273_id04055_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\women\id03747\00273_id04055_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id03747,id04055,-,African,women,train
C__id01227__00052_id02466_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\women\id01227\00052_id02466_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id01227,id02466,-,Caucasian (American),women,train
D__id07182__00040_id06753_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (South)\men\id07182\00040_id06753_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id07182,id06753,-,Asian (South),men,train
D__id01610__00090_id01236_7WdumGR5-JM_faceswap_id01392_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id01610\00090_id01236_7WdumGR5-JM_faceswap_id01392_wavtolip.mp4,1,FakeVideo-FakeAudio,faceswap-wav2lip,id01610,id01236,faceswap,African,men,train
A__id00634__00078,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\women\id00634\00078.mp4,0,RealVideo-RealAudio,real,id00634,-,-,Caucasian (European),women,train
A__id00234__00063,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\women\id00234\00063.mp4,0,RealVideo-RealAudio,real,id00234,-,-,Caucasian (European),women,train
D__id00332__00293_id00496_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id00332\00293_id00496_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id00332,id00496,-,Caucasian (European),women,train
A__id01532__00065,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01532\00065.mp4,0,RealVideo-RealAudio,real,id01532,-,-,African,women,train
D__id03858__00092_id00379_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id03858\00092_id00379_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id03858,id00379,-,Caucasian (European),women,train
C__id00696__00005_id00049_S_EHTUF-mQY,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\men\id00696\00005_id00049_S_EHTUF-mQY.mp4,1,FakeVideo-RealAudio,fsgan,id00696,id00049,-,Caucasian (American),men,train
C__id00042__00028_id00569_gSynmpwioV4,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\women\id00042\00028_id00569_gSynmpwioV4.mp4,1,FakeVideo-RealAudio,fsgan,id00042,id00569,-,Caucasian (European),women,train
D__id00769__00015_id07165_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (South)\men\id00769\00015_id07165_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id00769,id07165,-,Asian (South),men,train
D__id00484__00202_id00232_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id00484\00202_id00232_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id00484,id00232,-,Caucasian (European),women,train
C__id06470__00052_id04691_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (East)\men\id06470\00052_id04691_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id06470,id04691,-,Asian (East),men,train
C__id00781__00092_id01610_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\men\id00781\00092_id01610_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id00781,id01610,-,African,men,train
D__id00100__00028_id00097_PchMB8-P1lw_id00398_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\women\id00100\00028_id00097_PchMB8-P1lw_id00398_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id00100,id00097,id00398,Caucasian (American),women,train
C__id00265__00130_id00709_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id00265\00130_id00709_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id00265,id00709,-,Caucasian (European),men,train
A__id00484__00202,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\women\id00484\00202.mp4,0,RealVideo-RealAudio,real,id00484,-,-,Caucasian (European),women,train
D__id01838__00126_id03569_YO0EpPm9p-8_id04547_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\women\id01838\00126_id03569_YO0EpPm9p-8_id04547_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id01838,id03569,id04547,African,women,train
D__id00306__00015_id01058_2DKbOjf3Wyo_id00171_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\men\id00306\00015_id01058_2DKbOjf3Wyo_id00171_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id00306,id01058,id00171,Caucasian (European),men,train
A__id04736__00083,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04736\00083.mp4,0,RealVideo-RealAudio,real,id04736,-,-,African,women,train
C__id06427__00138_id06061_TckvmWR97vo,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (East)\women\id06427\00138_id06061_TckvmWR97vo.mp4,1,FakeVideo-RealAudio,fsgan,id06427,id06061,-,Asian (East),women,train
C__id00076__00109_id01076_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\men\id00076\00109_id01076_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id00076,id01076,-,African,men,train
D__id04073__00021_id00943_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\men\id04073\00021_id00943_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id04073,id00943,-,Caucasian (American),men,train
D__id00395__00420_id00823_KgExwCvgrUk_id03589_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id00395\00420_id00823_KgExwCvgrUk_id03589_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id00395,id00823,id03589,Caucasian (European),women,train
C__id04529__00186_id07008_hbwmyKv9Hio,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\women\id04529\00186_id07008_hbwmyKv9Hio.mp4,1,FakeVideo-RealAudio,fsgan,id04529,id07008,-,Asian (South),women,train
D__id00431__00039_id00841_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\women\id00431\00039_id00841_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id00431,id00841,-,Caucasian (American),women,train
C__id02268__00036_id02494_lObg47hQleE,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\men\id02268\00036_id02494_lObg47hQleE.mp4,1,FakeVideo-RealAudio,fsgan,id02268,id02494,-,African,men,train
A__id02296__00019,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02296\00019.mp4,0,RealVideo-RealAudio,real,id02296,-,-,African,men,train
C__id01157__00048_id00963_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id01157\00048_id00963_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id01157,id00963,-,Caucasian (European),men,train
D__id01123__00072_id01157_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\men\id01123\00072_id01157_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id01123,id01157,-,Caucasian (European),men,train
A__id06807__00015,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (East)\men\id06807\00015.mp4,0,RealVideo-RealAudio,real,id06807,-,-,Asian (East),men,train
C__id00192__00078_id00694_fIQsOJG81w4,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id00192\00078_id00694_fIQsOJG81w4.mp4,1,FakeVideo-RealAudio,fsgan,id00192,id00694,-,Caucasian (European),men,train
D__id04727__00007_id01637_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id04727\00007_id01637_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id04727,id01637,-,African,men,train
D__id00287__00005_id00262_3p7sRWAAh1Q_faceswap_id00271_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id00287\00005_id00262_3p7sRWAAh1Q_faceswap_id00271_wavtolip.mp4,1,FakeVideo-FakeAudio,faceswap-wav2lip,id00287,id00262,faceswap,Caucasian (European),women,train
D__id00100__00028_id01231_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\women\id00100\00028_id01231_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id00100,id01231,-,Caucasian (American),women,train
C__id03205__00150_id00305_LdcY3ILdQrE,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id03205\00150_id00305_LdcY3ILdQrE.mp4,1,FakeVideo-RealAudio,fsgan,id03205,id00305,-,Caucasian (European),men,train
D__id02005__00052_id02342_RJPBPhJB8TA_faceswap_id01544_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id02005\00052_id02342_RJPBPhJB8TA_faceswap_id01544_wavtolip.mp4,1,FakeVideo-FakeAudio,faceswap-wav2lip,id02005,id02342,faceswap,African,men,train
C__id00569__00239_id01002_eQTviHjyISo,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\women\id00569\00239_id01002_eQTviHjyISo.mp4,1,FakeVideo-RealAudio,fsgan,id00569,id01002,-,Caucasian (European),women,train
C__id00220__00027_id01178_6XpgYMiKxhc,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\women\id00220\00027_id01178_6XpgYMiKxhc.mp4,1,FakeVideo-RealAudio,fsgan,id00220,id01178,-,African,women,train
D__id00225__00078_id00519_riI0J9g9OG4_id00265_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\men\id00225\00078_id00519_riI0J9g9OG4_id00265_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id00225,id00519,id00265,Caucasian (European),men,train
B__id06437__00028_fake,raw\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Asian (South)\women\id06437\00028_fake.mp4,1,RealVideo-FakeAudio,rtvc,id06437,fake.mp4,-,Asian (South),women,train
