clip_id,video_path,label,manipulation_type,method,source,target1,target2,race,gender,leading_silence_sec
A__id01691__00045,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01691\00045.mp4,0,RealVideo-RealAudio,real,id01691,-,-,African,men,0.0
A__id01717__00005,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01717\00005.mp4,0,RealVideo-RealAudio,real,id01717,-,-,African,men,0.0
A__id01779__00010,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01779\00010.mp4,0,RealVideo-RealAudio,real,id01779,-,-,African,men,0.0
A__id01835__00130,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01835\00130.mp4,0,RealVideo-RealAudio,real,id01835,-,-,African,men,0.0
A__id01856__00006,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01856\00006.mp4,0,RealVideo-RealAudio,real,id01856,-,-,African,men,0.0
A__id01920__00099,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01920\00099.mp4,0,RealVideo-RealAudio,real,id01920,-,-,African,men,0.0
A__id01933__00028,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01933\00028.mp4,0,RealVideo-RealAudio,real,id01933,-,-,African,men,0.0
A__id01972__00078,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01972\00078.mp4,0,RealVideo-RealAudio,real,id01972,-,-,African,men,0.0
A__id01995__00071,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01995\00071.mp4,0,RealVideo-RealAudio,real,id01995,-,-,African,men,0.0
A__id02005__00052,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02005\00052.mp4,0,RealVideo-RealAudio,real,id02005,-,-,African,men,0.0
A__id02040__00476,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02040\00476.mp4,0,RealVideo-RealAudio,real,id02040,-,-,African,men,0.0
A__id02051__00015,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02051\00015.mp4,0,RealVideo-RealAudio,real,id02051,-,-,African,men,0.0
A__id02268__00036,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02268\00036.mp4,0,RealVideo-RealAudio,real,id02268,-,-,African,men,0.0
A__id02296__00019,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02296\00019.mp4,0,RealVideo-RealAudio,real,id02296,-,-,African,men,0.384
A__id02316__00094,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02316\00094.mp4,0,RealVideo-RealAudio,real,id02316,-,-,African,men,0.0
A__id02342__00191,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02342\00191.mp4,0,RealVideo-RealAudio,real,id02342,-,-,African,men,0.0
A__id02494__00050,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02494\00050.mp4,0,RealVideo-RealAudio,real,id02494,-,-,African,men,0.0
A__id04727__00007,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id04727\00007.mp4,0,RealVideo-RealAudio,real,id04727,-,-,African,men,0.0
A__id00220__00027,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00220\00027.mp4,0,RealVideo-RealAudio,real,id00220,-,-,African,women,0.0
A__id00359__00053,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00359\00053.mp4,0,RealVideo-RealAudio,real,id00359,-,-,African,women,0.0
A__id00371__00099,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00371\00099.mp4,0,RealVideo-RealAudio,real,id00371,-,-,African,women,0.0
A__id00460__00005,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00460\00005.mp4,0,RealVideo-RealAudio,real,id00460,-,-,African,women,0.0
A__id00568__00384,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00568\00384.mp4,0,RealVideo-RealAudio,real,id00568,-,-,African,women,0.0
A__id00577__00010,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00577\00010.mp4,0,RealVideo-RealAudio,real,id00577,-,-,African,women,0.064
A__id00592__00017,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00592\00017.mp4,0,RealVideo-RealAudio,real,id00592,-,-,African,women,0.0
A__id00707__00052,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00707\00052.mp4,0,RealVideo-RealAudio,real,id00707,-,-,African,women,0.0
A__id00829__00271,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00829\00271.mp4,0,RealVideo-RealAudio,real,id00829,-,-,African,women,0.0
A__id00832__00078,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00832\00078.mp4,0,RealVideo-RealAudio,real,id00832,-,-,African,women,0.0
A__id01178__00028,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01178\00028.mp4,0,RealVideo-RealAudio,real,id01178,-,-,African,women,0.0
A__id01532__00065,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01532\00065.mp4,0,RealVideo-RealAudio,real,id01532,-,-,African,women,0.0
A__id01661__00059,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01661\00059.mp4,0,RealVideo-RealAudio,real,id01661,-,-,African,women,0.0
A__id01783__00015,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01783\00015.mp4,0,RealVideo-RealAudio,real,id01783,-,-,African,women,0.0
A__id01838__00126,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01838\00126.mp4,0,RealVideo-RealAudio,real,id01838,-,-,African,women,0.0
A__id01907__00148,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01907\00148.mp4,0,RealVideo-RealAudio,real,id01907,-,-,African,women,0.0
A__id02071__00195,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02071\00195.mp4,0,RealVideo-RealAudio,real,id02071,-,-,African,women,0.0
A__id02301__00092,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02301\00092.mp4,0,RealVideo-RealAudio,real,id02301,-,-,African,women,0.16
A__id02508__00083,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02508\00083.mp4,0,RealVideo-RealAudio,real,id02508,-,-,African,women,0.0
A__id02586__00042,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02586\00042.mp4,0,RealVideo-RealAudio,real,id02586,-,-,African,women,0.032
A__id02617__00028,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02617\00028.mp4,0,RealVideo-RealAudio,real,id02617,-,-,African,women,0.0
A__id02721__00424,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02721\00424.mp4,0,RealVideo-RealAudio,real,id02721,-,-,African,women,0.0
A__id02808__00056,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02808\00056.mp4,0,RealVideo-RealAudio,real,id02808,-,-,African,women,0.0
A__id02824__00130,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02824\00130.mp4,0,RealVideo-RealAudio,real,id02824,-,-,African,women,0.288
A__id02838__00080,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02838\00080.mp4,0,RealVideo-RealAudio,real,id02838,-,-,African,women,0.0
A__id02948__00298,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02948\00298.mp4,0,RealVideo-RealAudio,real,id02948,-,-,African,women,0.0
A__id03103__00130,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03103\00130.mp4,0,RealVideo-RealAudio,real,id03103,-,-,African,women,0.0
A__id03569__00065,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03569\00065.mp4,0,RealVideo-RealAudio,real,id03569,-,-,African,women,0.0
A__id03656__00052,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03656\00052.mp4,0,RealVideo-RealAudio,real,id03656,-,-,African,women,0.0
A__id03658__00077,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03658\00077.mp4,0,RealVideo-RealAudio,real,id03658,-,-,African,women,0.0
A__id03713__00249,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03713\00249.mp4,0,RealVideo-RealAudio,real,id03713,-,-,African,women,0.0
A__id03747__00273,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03747\00273.mp4,0,RealVideo-RealAudio,real,id03747,-,-,African,women,0.0
A__id04055__00001,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04055\00001.mp4,0,RealVideo-RealAudio,real,id04055,-,-,African,women,0.0
A__id04245__00072,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04245\00072.mp4,0,RealVideo-RealAudio,real,id04245,-,-,African,women,0.0
A__id04374__00032,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04374\00032.mp4,0,RealVideo-RealAudio,real,id04374,-,-,African,women,0.0
A__id04376__00181,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04376\00181.mp4,0,RealVideo-RealAudio,real,id04376,-,-,African,women,0.0
A__id04437__00002,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04437\00002.mp4,0,RealVideo-RealAudio,real,id04437,-,-,African,women,0.0
A__id04540__00078,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04540\00078.mp4,0,RealVideo-RealAudio,real,id04540,-,-,African,women,0.0
A__id04547__00052,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04547\00052.mp4,0,RealVideo-RealAudio,real,id04547,-,-,African,women,0.0
A__id04689__00005,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04689\00005.mp4,0,RealVideo-RealAudio,real,id04689,-,-,African,women,0.0
A__id04705__00408,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04705\00408.mp4,0,RealVideo-RealAudio,real,id04705,-,-,African,women,0.0
A__id04736__00083,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04736\00083.mp4,0,RealVideo-RealAudio,real,id04736,-,-,African,women,0.0
A__id04820__00015,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04820\00015.mp4,0,RealVideo-RealAudio,real,id04820,-,-,African,women,0.0
A__id04939__00174,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04939\00174.mp4,0,RealVideo-RealAudio,real,id04939,-,-,African,women,0.0
A__id05106__00078,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05106\00078.mp4,0,RealVideo-RealAudio,real,id05106,-,-,African,women,0.0
A__id05231__00149,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05231\00149.mp4,0,RealVideo-RealAudio,real,id05231,-,-,African,women,0.0
A__id05235__00052,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05235\00052.mp4,0,RealVideo-RealAudio,real,id05235,-,-,African,women,0.0
A__id05251__00033,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05251\00033.mp4,0,RealVideo-RealAudio,real,id05251,-,-,African,women,0.0
A__id05252__00052,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05252\00052.mp4,0,RealVideo-RealAudio,real,id05252,-,-,African,women,0.0
A__id05980__00143,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05980\00143.mp4,0,RealVideo-RealAudio,real,id05980,-,-,African,women,0.032
A__id00018__00181,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00018\00181.mp4,0,RealVideo-RealAudio,real,id00018,-,-,Caucasian (American),men,0.0
A__id00020__00206,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00020\00206.mp4,0,RealVideo-RealAudio,real,id00020,-,-,Caucasian (American),men,0.0
A__id00021__00010,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00021\00010.mp4,0,RealVideo-RealAudio,real,id00021,-,-,Caucasian (American),men,0.0
A__id00029__00288,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00029\00288.mp4,0,RealVideo-RealAudio,real,id00029,-,-,Caucasian (American),men,0.0
A__id00049__00118,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00049\00118.mp4,0,RealVideo-RealAudio,real,id00049,-,-,Caucasian (American),men,0.064
A__id00052__00015,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00052\00015.mp4,0,RealVideo-RealAudio,real,id00052,-,-,Caucasian (American),men,0.0
A__id00060__00307,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00060\00307.mp4,0,RealVideo-RealAudio,real,id00060,-,-,Caucasian (American),men,0.0
A__id00062__00278,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00062\00278.mp4,0,RealVideo-RealAudio,real,id00062,-,-,Caucasian (American),men,0.0
A__id00087__00002,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00087\00002.mp4,0,RealVideo-RealAudio,real,id00087,-,-,Caucasian (American),men,0.0
A__id00088__00005,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00088\00005.mp4,0,RealVideo-RealAudio,real,id00088,-,-,Caucasian (American),men,0.0
A__id00169__00021,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00169\00021.mp4,0,RealVideo-RealAudio,real,id00169,-,-,Caucasian (American),men,0.0
A__id00179__00143,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00179\00143.mp4,0,RealVideo-RealAudio,real,id00179,-,-,Caucasian (American),men,0.0
A__id00184__00241,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00184\00241.mp4,0,RealVideo-RealAudio,real,id00184,-,-,Caucasian (American),men,0.0
A__id00243__00037,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00243\00037.mp4,0,RealVideo-RealAudio,real,id00243,-,-,Caucasian (American),men,0.224
A__id00264__00257,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00264\00257.mp4,0,RealVideo-RealAudio,real,id00264,-,-,Caucasian (American),men,0.0
A__id00345__00243,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00345\00243.mp4,0,RealVideo-RealAudio,real,id00345,-,-,Caucasian (American),men,0.0
A__id00529__00409,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00529\00409.mp4,0,RealVideo-RealAudio,real,id00529,-,-,Caucasian (American),men,0.0
A__id00696__00005,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00696\00005.mp4,0,RealVideo-RealAudio,real,id00696,-,-,Caucasian (American),men,0.0
A__id00708__00043,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00708\00043.mp4,0,RealVideo-RealAudio,real,id00708,-,-,Caucasian (American),men,0.0
A__id00775__00092,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00775\00092.mp4,0,RealVideo-RealAudio,real,id00775,-,-,Caucasian (American),men,0.16
A__id00777__00160,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00777\00160.mp4,0,RealVideo-RealAudio,real,id00777,-,-,Caucasian (American),men,0.0
A__id00943__00304,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00943\00304.mp4,0,RealVideo-RealAudio,real,id00943,-,-,Caucasian (American),men,0.032
A__id00945__00107,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00945\00107.mp4,0,RealVideo-RealAudio,real,id00945,-,-,Caucasian (American),men,0.0
A__id00971__00253,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00971\00253.mp4,0,RealVideo-RealAudio,real,id00971,-,-,Caucasian (American),men,0.0
A__id01035__00012,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01035\00012.mp4,0,RealVideo-RealAudio,real,id01035,-,-,Caucasian (American),men,0.0
A__id01042__00154,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01042\00154.mp4,0,RealVideo-RealAudio,real,id01042,-,-,Caucasian (American),men,0.0
A__id01044__00336,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01044\00336.mp4,0,RealVideo-RealAudio,real,id01044,-,-,Caucasian (American),men,0.0
A__id01048__00160,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01048\00160.mp4,0,RealVideo-RealAudio,real,id01048,-,-,Caucasian (American),men,0.0
A__id01096__00037,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01096\00037.mp4,0,RealVideo-RealAudio,real,id01096,-,-,Caucasian (American),men,0.0
A__id01105__00083,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01105\00083.mp4,0,RealVideo-RealAudio,real,id01105,-,-,Caucasian (American),men,0.0
A__id01124__00063,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01124\00063.mp4,0,RealVideo-RealAudio,real,id01124,-,-,Caucasian (American),men,0.0
A__id01163__00195,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01163\00195.mp4,0,RealVideo-RealAudio,real,id01163,-,-,Caucasian (American),men,0.0
A__id01168__00028,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01168\00028.mp4,0,RealVideo-RealAudio,real,id01168,-,-,Caucasian (American),men,0.0
A__id01172__00015,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01172\00015.mp4,0,RealVideo-RealAudio,real,id01172,-,-,Caucasian (American),men,0.0
A__id01175__00025,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01175\00025.mp4,0,RealVideo-RealAudio,real,id01175,-,-,Caucasian (American),men,0.0
A__id01182__00167,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01182\00167.mp4,0,RealVideo-RealAudio,real,id01182,-,-,Caucasian (American),men,0.0
A__id01192__00217,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01192\00217.mp4,0,RealVideo-RealAudio,real,id01192,-,-,Caucasian (American),men,0.0
A__id01201__00028,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01201\00028.mp4,0,RealVideo-RealAudio,real,id01201,-,-,Caucasian (American),men,0.0
A__id01210__00283,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01210\00283.mp4,0,RealVideo-RealAudio,real,id01210,-,-,Caucasian (American),men,0.0
A__id01211__00023,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01211\00023.mp4,0,RealVideo-RealAudio,real,id01211,-,-,Caucasian (American),men,0.0
A__id01239__00280,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01239\00280.mp4,0,RealVideo-RealAudio,real,id01239,-,-,Caucasian (American),men,0.0
A__id03525__00048,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id03525\00048.mp4,0,RealVideo-RealAudio,real,id03525,-,-,Caucasian (American),men,0.096
A__id03668__00143,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id03668\00143.mp4,0,RealVideo-RealAudio,real,id03668,-,-,Caucasian (American),men,0.0
A__id03678__00078,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id03678\00078.mp4,0,RealVideo-RealAudio,real,id03678,-,-,Caucasian (American),men,0.0
A__id03757__00149,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id03757\00149.mp4,0,RealVideo-RealAudio,real,id03757,-,-,Caucasian (American),men,0.0
A__id04034__00009,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id04034\00009.mp4,0,RealVideo-RealAudio,real,id04034,-,-,Caucasian (American),men,0.0
A__id04073__00021,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id04073\00021.mp4,0,RealVideo-RealAudio,real,id04073,-,-,Caucasian (American),men,0.0
A__id04216__00470,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id04216\00470.mp4,0,RealVideo-RealAudio,real,id04216,-,-,Caucasian (American),men,0.0
A__id04219__00130,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id04219\00130.mp4,0,RealVideo-RealAudio,real,id04219,-,-,Caucasian (American),men,0.032
A__id04221__00053,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id04221\00053.mp4,0,RealVideo-RealAudio,real,id04221,-,-,Caucasian (American),men,0.0
A__id00025__00025,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\women\id00025\00025.mp4,0,RealVideo-RealAudio,real,id00025,-,-,Caucasian (American),women,0.0
A__id00097__00162,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\women\id00097\00162.mp4,0,RealVideo-RealAudio,real,id00097,-,-,Caucasian (American),women,0.0
A__id00098__00004,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\women\id00098\00004.mp4,0,RealVideo-RealAudio,real,id00098,-,-,Caucasian (American),women,0.0
